Course Title,University,Country,Course Area
Public Economy,Pontificia Universidad Católica Argentina,Argentina,Public Sector Economics
Intercultural Communication,Pontificia Universidad Católica Argentina,Argentina,Business Option
American Geopolitics,Pontificia Universidad Católica Argentina,Argentina,General Education - Arts
Cultural studies: identity and stereotypes in the Americas,Pontificia Universidad Católica Argentina,Argentina,General Education - Arts
Spanish,Pontificia Universidad Católica Argentina,Argentina,General Education - Arts(Lang)
Game Theory III,University of Adelaide,Australia,Game Theory
Resource and Environmental Economics III,University of Adelaide,Australia,Environmental Economics
Applied Entrepreneurship,University of Adelaide,Australia,Business Option
International Marketing III,University of Adelaide,Australia,Business Option
international business II,University of Adelaide,Australia,Business Option
"Money, banking and financial markets III",University of Adelaide,Australia,Finance Major Elective
"Options, Futures and Risk Management III",University of Adelaide,Australia,Finance Major Elective
Portfolio Theory & Management III,University of Adelaide,Australia,Finance Major Elective
International Marketing III,University of Adelaide,Australia,Marketing Major Elective
Marketing Communications III,University of Adelaide,Australia,Marketing Major Elective
Media Democracies and E-Participation,University of Adelaide,Australia,Corp Comm Major Elective
Writing for News Media,University of Adelaide,Australia,Corp Comm Major Elective
International Financial Institutions & Markets I,University of Adelaide,Australia,Econ Major Rel/Econ Options
Foundations of Linguistics,University of Adelaide,Australia,General Education - Arts
Global Environmental Politics,University of Adelaide,Australia,Global and Regional Studies
Public International Law,University of Adelaide,Australia,GRS + LGST
Introduction to Marketing II,University of Adelaide,Australia,Business-Oriented Elective
Medical Law and Ethics,University of Adelaide,Australia,Law Major Elective-LLB/JD only
Regulation of Security Trading Markets,University of Adelaide,Australia,Law Major Elective-LLB/JD only
Remedies,University of Adelaide,Australia,Law Major Elective-LLB/JD only
Succession,University of Adelaide,Australia,Law Major Elective-LLB/JD only
"Community, Gender and Critical Development",University of Adelaide,Australia,SSMR (Social Science)
Doing Research in Psychology,University of Adelaide,Australia,SSMR (Social Science)
"Gender, Work and Society",University of Adelaide,Australia,SSMR (Social Science)
Introduction to Development Studies,University of Adelaide,Australia,SSMR (Social Science)
Australia and the Asia-Pacific,University of Adelaide,Australia,Political Science Major
"Justice, Virtue and the Good",University of Adelaide,Australia,Political Science Major
"Politics, Power and Popular Culture",University of Adelaide,Australia,Political Science Major
"Individual Differences, Personality and Assessment",University of Adelaide,Australia,Psychology Major Elective
"Gender, Work and Society",University of Adelaide,Australia,Sociology Major Elective
"Politics, Power and Popular Culture",University of Adelaide,Australia,Sociology Major Elective
Entrepreneurial Strategy and Resourcing,University of Adelaide,Australia,Technology & Entrepreneurship
Entrepreneurial Strategy and Resourcing,University of Adelaide,Australia,Technology and Entrepreneursh
Entrepreneurial Strategy and Resourcing,University of Adelaide,Australia,Technology and Entrepreneurshi
Opportunity Assessment,University of Adelaide,Australia,Technology & Entrepreneurship
Opportunity Assessment,University of Adelaide,Australia,Technology and Entrepreneursh
Opportunity Assessment,University of Adelaide,Australia,Technology and Entrepreneurshi
ECON2107 Modern Labour Markets: Theory and Policy,University of New South Wales,Australia,Labour Economics
Innovation Law and Policy,University of New South Wales,Australia,Intellectual Property Law
Intellectual Property 2,University of New South Wales,Australia,Intellectual Property Law
Alternative Dispute Resolution in Practice,University of New South Wales,Australia,Negotn & Mediatn for Lawyers
Public International Law,University of New South Wales,Australia,Public International Law
